ID_Unique,Sand_gkg,Clay_gkg,SOM_gkg,Ca_mmolkg,Mg_mmolkg,CEC_Ph7_mmolkg,Vegetation,Bioma,Geology,Sampling,MIR_availability,Region,Sand_gkg_ausente,Clay_gkg_ausente,SOM_gkg_ausente,Ca_mmolkg_ausente,Mg_mmolkg_ausente,CEC_Ph7_mmolkg_ausente
20582,800.0,120.0,15.0,9.0,2.0,35.2,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
4218,816.0,115.0,17.0,4.0,2.0,20.1,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,1,0,0,0
14727,274.16074,597.6602,9.0,5.8,4.8,34.06,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
21592,780.0,145.0,8.0,12.0,5.0,35.8,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
25135,210.0,226.0,17.0,74.0,26.0,135.6,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
13701,350.0,280.0,17.0,13.0,5.2,44.1,Dense Ombrophylous Forest,Mata Atlantica,Igneous Rock,Desconhecido,NO,South,0,0,1,1,1,1
1361,70.0,600.0,61.2,13.0,5.2,44.1,Areas of Ecological Tension,Mata Atlantica,Igneous Rock,Auger,NO,South,0,0,0,1,1,1
20979,860.0,100.0,8.0,10.0,6.0,22.3,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
4666,888.0,72.0,8.3,4.2,4.4,19.9,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
12980,300.0,90.0,17.0,13.0,5.2,44.1,Dense Ombrophylous Forest,Mata Atlantica,Igneous Rock,Desconhecido,NO,South,0,0,1,1,1,1
9911,680.0,295.0,21.0,24.0,7.9,45.1,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Midwest,0,0,0,0,0,0
16843,260.0,620.0,34.0,41.0,21.0,110.5,Savannah,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
34153,637.0,240.0,12.05,13.0,5.2,44.1,Steppe,Caatinga,Metamorphic Rock,Profile,YES,Northeast,1,1,0,1,1,1
20444,840.0,120.0,8.0,4.0,1.0,30.8,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
21170,700.0,191.0,11.0,13.0,4.0,41.1,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
34406,400.0,280.0,22.0,14.0,8.0,22.0,Areas of Ecological Tension,Mata Atlantica,Metamorphic Rock,Auger,NO,Southeast,0,0,0,0,0,0
7956,783.0,200.0,13.7,9.4,4.5,26.0,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
23522,210.0,514.0,27.0,39.0,17.0,84.6,Savannah,Cerrado,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
10730,592.2,299.9,16.1,12.8,4.3,43.5,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
6807,750.0,103.0,14.0,54.7,17.6,90.6,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
9917,766.0,210.0,19.0,10.0,1.6,36.7,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Midwest,0,0,0,0,0,0
32553,310.0,500.0,11.4,1.0,0.1,11.0,Areas of Ecological Tension,Amazonia,Sedimentary Rock,Profile,NO,North,0,0,0,0,0,0
31353,720.0,200.0,15.0,1.0,1.0,44.3,Savannah,Amazonia,Igneous Rock,Auger,NO,North,0,0,0,0,0,0
9598,897.0,65.0,10.0,11.1,4.0,20.9,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Midwest,0,0,0,0,0,0
952,881.0,82.0,21.67,35.7,7.6,69.9,Seasonal Deciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,South,0,0,0,0,0,0
9230,884.0,95.0,10.0,1.6,1.8,17.5,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Midwest,0,0,0,0,0,0
2217,200.0,280.0,3.4466667,8.0,10.0,109.5,Seasonal Semideciduous Forest,Mata Atlantica,Metamorphic Rock,Auger,NO,Southeast,0,0,0,0,0,0
13773,140.0,490.0,17.0,13.0,5.2,44.1,Mixed Ombrophylous Forest,Mata Atlantica,Igneous Rock,Desconhecido,NO,South,0,0,1,1,1,1
10925,883.1,80.0,18.1,52.1,15.6,81.7,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
12112,778.6,174.9,17.6,6.5,4.0,33.2,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
11098,406.8,524.7,16.0,4.0,2.0,46.0,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
33626,637.0,240.0,16.84,13.0,5.2,44.1,Steppe,Caatinga,Metamorphic Rock,Profile,YES,Northeast,1,1,0,1,1,1
28850,924.0,56.0,7.7,1.6,1.6,24.5,Savannah,Cerrado,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
15736,110.0,720.0,24.0,12.0,3.0,63.3,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Profile,YES,Midwest,0,0,0,0,0,0
20369,820.0,120.0,8.0,7.0,6.0,29.7,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
24285,560.0,219.0,13.0,22.0,8.0,60.3,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
12740,130.0,470.0,17.0,13.0,5.2,44.1,Savannah,Mata Atlantica,Igneous Rock,Desconhecido,NO,South,0,0,1,1,1,1
970,328.0,137.0,43.86,37.3,9.6,92.8,Seasonal Deciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,South,0,0,0,0,0,0
582,70.0,620.0,41.55,13.0,5.2,44.1,Mixed Ombrophylous Forest,Mata Atlantica,Igneous Rock,Auger,NO,South,0,0,0,1,1,1
29696,620.0,360.0,15.0,2.0,1.0,40.8,Savannah,Amazonia,Sedimentary Rock,Auger,NO,North,0,0,0,0,0,0
20114,780.0,160.0,16.0,1.0,1.0,44.9,Areas of Pioneering Formation,Mata Atlantica,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
