ID_Unique,Sand_gkg,Clay_gkg,SOM_gkg,Ca_mmolkg,Mg_mmolkg,CEC_Ph7_mmolkg,Vegetation,Bioma,Geology,Sampling,MIR_availability,Region,Sand_gkg_ausente,Clay_gkg_ausente,SOM_gkg_ausente,Ca_mmolkg_ausente,Mg_mmolkg_ausente,CEC_Ph7_mmolkg_ausente
6789,871.0,76.0,7.0,12.6,6.6,37.6,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
31973,381.0,523.0,17.0,0.3,0.8,10.53,Savannah,Amazonia,Metamorphic Rock,Auger,NO,North,0,0,1,0,0,0
2597,637.0,240.0,4.4888887,13.0,5.2,44.1,Amazon Rainforest,Amazonia,Sedimentary Rock,Auger,NO,Northeast,1,1,0,1,1,1
33906,637.0,240.0,35.24,13.0,5.2,44.1,Steppe,Caatinga,Metamorphic Rock,Profile,YES,Northeast,1,1,0,1,1,1
2356,410.0,430.0,9.6,13.0,5.2,44.1,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Profile,NO,Southeast,0,0,0,1,1,1
10831,879.2,74.9,15.0,9.7,2.3,22.9,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
18554,30.0,870.0,40.0,48.0,20.0,142.8,Savannah,Cerrado,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
13198,610.0,150.0,17.0,13.0,5.2,44.1,Dense Ombrophylous Forest,Mata Atlantica,Igneous Rock,Desconhecido,NO,South,0,0,1,1,1,1
14217,151.0,667.0,17.0,13.0,5.2,44.1,Savannah,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,1,1,1,1
20009,820.0,120.0,18.0,11.0,7.0,47.2,Areas of Pioneering Formation,Mata Atlantica,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
10303,916.0,68.0,8.8,0.5,0.8,18.5,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Midwest,0,0,0,0,0,0
31561,800.0,160.0,19.0,62.0,33.0,111.7,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
32893,843.0,128.0,15.8,9.4,4.6,38.92,Dense Ombrophylous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Northeast,0,0,0,0,0,0
17936,230.0,670.0,53.0,34.0,10.0,118.6,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
2682,90.0,777.0,21.84,13.0,5.2,44.1,Savannah,Cerrado,Igneous Rock,Desconhecido,NO,Midwest,0,0,0,1,1,1
26450,730.0,225.0,13.0,9.0,2.0,42.5,Dense Ombrophylous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
34277,340.0,370.0,36.0,16.0,8.0,130.0,Desconhecido,Cerrado,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
25170,400.0,183.0,12.0,33.0,13.0,69.7,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
17276,240.0,740.0,22.0,25.0,16.0,75.0,Savannah,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
14197,265.0,473.0,17.0,13.0,5.2,44.1,Seasonal Deciduous Forest,Mata Atlantica,Igneous Rock,Desconhecido,NO,South,0,0,1,1,1,1
17076,170.0,690.0,33.0,37.0,5.0,116.9,Savannah,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
2861,664.0,258.0,17.0,13.0,5.2,44.1,Steppe,Caatinga,Sedimentary Rock,Profile,NO,Northeast,0,0,1,1,1,1
28747,920.0,70.0,12.9,12.8,3.2,28.9,Savannah,Cerrado,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
831,894.0,53.0,8.6,13.0,5.2,44.1,Seasonal Deciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,South,0,0,0,1,1,1
29340,946.0,35.0,13.1,9.2,3.0,30.8,Savannah,Cerrado,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
14725,268.1493,639.0593,9.38,4.9,5.1,29.5,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
14707,201.63766,690.8905,25.13,7.1,5.0,23.79,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
20866,840.0,120.0,3.3333333,9.0,1.0,29.2,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
22114,859.0,97.0,8.0,6.0,2.0,43.0,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
12996,270.0,200.0,17.0,13.0,5.2,44.1,Dense Ombrophylous Forest,Mata Atlantica,Igneous Rock,Desconhecido,NO,South,0,0,1,1,1,1
26076,320.0,475.0,21.0,47.0,13.0,102.5,Dense Ombrophylous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
2766,780.0,210.0,17.0,13.0,5.2,44.1,Savannah,Cerrado,Sedimentary Rock,Desconhecido,NO,Southeast,0,0,1,1,1,1
15233,230.0,750.0,17.0,15.0,5.0,36.0,Savannah,Cerrado,Igneous Rock,Profile,YES,Southeast,0,0,0,0,0,0
11106,471.3,387.3,28.0,15.2,6.5,55.3,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
26707,709.0,250.0,15.6,13.1,7.5,38.3,Savannah,Cerrado,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
11235,376.0,400.0,37.1,75.5,32.6,145.5,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
22681,800.0,190.0,18.0,10.0,7.0,33.3,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Auger,NO,Midwest,0,0,0,0,0,0
4009,822.0,105.0,17.0,4.0,2.0,19.3,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,1,0,0,0
9097,824.0,128.0,21.3,7.5,7.7,48.8,Desconhecido,Desconhecido,Desconhecido,Auger,NO,Midwest,0,0,0,0,0,0
21604,810.0,114.0,12.0,18.0,9.0,41.5,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
29640,300.0,680.0,21.0,3.0,1.0,56.4,Savannah,Amazonia,Sedimentary Rock,Auger,NO,North,0,0,0,0,0,0
24371,340.0,357.0,17.0,19.0,11.0,55.6,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
14913,150.0,710.0,33.0,24.0,12.0,80.6,Savannah,Cerrado,Igneous Rock,Profile,YES,Southeast,0,0,0,0,0,0
26982,687.0,275.0,14.8,24.5,11.0,54.7,Savannah,Cerrado,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
10745,816.6,124.9,12.2,15.1,6.0,45.2,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest,0,0,0,0,0,0
15694,200.0,670.0,20.0,7.0,3.0,48.1,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Profile,YES,Midwest,0,0,0,0,0,0
24872,420.0,386.0,25.0,19.0,9.0,75.3,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
20844,780.0,160.0,10.0,11.0,1.0,28.1,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
15938,290.0,539.0,28.0,12.0,3.0,40.5,Savannah,Cerrado,Sedimentary Rock,Profile,YES,Southeast,0,0,0,0,0,0
14975,110.0,760.0,30.0,8.0,6.0,73.7,Savannah,Cerrado,Igneous Rock,Profile,YES,Midwest,0,0,0,0,0,0
34288,240.0,540.0,81.0,52.0,22.0,74.0,Seasonal Semideciduous Forest,Mata Atlantica,Metamorphic Rock,Auger,NO,Southeast,0,0,0,0,0,0
15723,190.0,640.0,33.0,30.0,6.0,85.6,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Profile,NO,Midwest,0,0,0,0,0,0
31681,800.0,160.0,17.0,32.0,12.0,67.0,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
15915,310.0,472.0,13.0,12.0,1.0,35.1,Savannah,Cerrado,Sedimentary Rock,Profile,YES,Southeast,0,0,0,0,0,0
31726,760.0,200.0,16.0,14.0,8.0,67.5,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
13908,360.0,400.0,17.0,13.0,5.2,44.1,Dense Ombrophylous Forest,Mata Atlantica,Sedimentary Rock,Desconhecido,YES,South,0,0,1,1,1,1
33446,38.0,243.0,24.85,108.0,1.0,151.54,Dense Ombrophylous Forest,Amazonia,Sedimentary Rock,Profile,YES,Northeast,0,0,0,0,0,0
12836,170.0,590.0,17.0,13.0,5.2,44.1,Seasonal Deciduous Forest,Mata Atlantica,Igneous Rock,Desconhecido,NO,South,0,0,1,1,1,1
19032,840.0,140.0,10.0,2.0,1.0,21.3,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
14210,299.0,287.0,17.0,13.0,5.2,44.1,Dense Ombrophylous Forest,Mata Atlantica,Sedimentary Rock,Desconhecido,NO,South,0,0,1,1,1,1
14693,187.69153,663.9428,8.25,4.5,2.2,13.61,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
14553,243.87755,637.7551,21.75,12.8,14.4,38.92,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Southeast,0,0,0,0,0,0
4918,801.0,91.0,12.0,9.1,8.8,32.7,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Southeast,0,0,0,0,0,0
